Transaction_ID,Date,Customer_ID,Product,Quantity,Payment_Method,Country,Discount_Percentage,Shipping_Cost,Delivery_Days,Customer_Rating,Return_Status,Unit_Price,Total_Price_Before_Discount,Discount_Amount,Price_After_Discount,Final_Total,Category
TXN_0004163,2023-01-01,CUST_00662,Router,6,Credit Card,India,0,5.0,19.0,5.0,No,247,1482,0.0,1482.0,1487.0,Networking
TXN_0003251,2023-01-01,CUST_00522,Hard Drive,6,Credit Card,USA,5,15.0,10.0,5.0,No,214,1284,64.2,1219.8,1234.8,Storage
TXN_0001138,2023-01-01,CUST_00941,Charger,3,Credit Card,USA,0,10.0,29.0,5.0,Yes,105,315,0.0,315.0,325.0,Accessories
TXN_0002035,2023-01-01,CUST_00799,Speaker,5,Apple Pay,USA,5,5.0,,4.0,Yes,189,945,47.25,897.75,902.75,Accessories
TXN_0000649,2023-01-01,CUST_00388,Monitor,3,Debit Card,USA,5,25.0,25.0,,No,466,1398,69.9,1328.1,1353.1,Peripherals
TXN_0000756,2023-01-01,CUST_00251,USB Cable,1,Google Pay,Germany,20,15.0,13.0,,No,84,84,16.8,67.2,82.2,Accessories
TXN_0003557,2023-01-01,CUST_00429,Headphones,5,PayPal,India,5,20.0,27.0,5.0,No,226,1130,56.5,1073.5,1093.5,Accessories
TXN_0000980,2023-01-01,CUST_00130,USB Cable,9,PayPal,Germany,0,25.0,8.0,5.0,No,7,63,0.0,63.0,88.0,Accessories
TXN_0001978,2023-01-01,CUST_00788,Monitor,2,Google Pay,UK,20,5.0,18.0,,No,390,780,156.0,624.0,629.0,Peripherals
TXN_0003052,2023-01-01,CUST_00929,Microphone,3,Bank Transfer,Canada,15,10.0,28.0,4.0,No,116,348,52.199999999999996,295.8,305.8,Peripherals
TXN_0002136,2023-01-02,CUST_00688,Hard Drive,6,PayPal,Canada,10,20.0,7.0,,No,136,816,81.60000000000001,734.4,754.4,Storage
